📛 name,🔢 Token ID,🔒 Locked THE,🧾 veTHE Balance,🤑 Estimated BUSD Value,⏲️ Lock End Date,🗳️ Vote Share %,✔️ Vote Reset,⚡ Voted Current Epoch
Guru,2714,113137.9371,112226.6665,51294.3947,2025-02-06,0.4667,No,No
Thena,18,944187.9825,927529.1095,428075.2531,2025-01-30,3.8575,No,No
Thena,25,269767.995,265008.317,122307.2152,2025-01-30,1.1022,No,No
Thena,24,1652328.9694,1623175.863,749131.6929,2025-01-30,6.7507,No,No
Thena,19,505814.9906,496890.5703,229326.0284,2025-01-30,2.0665,No,No
Thena,23,674419.9875,662520.7604,305768.0379,2025-01-30,2.7554,No,No
Thena,21,674419.9875,662520.7604,305768.0379,2025-01-30,2.7554,No,No
Thena,20,674419.9875,656053.6874,305768.0379,2025-01-23,2.7285,No,No
Thena,22,674419.9875,662520.7283,305768.0379,2025-01-30,2.7554,No,No
Ankr,1,1078906.0071,1070215.7949,489153.612,2025-02-06,4.451,No,Yes
Multichain,2,469696.9143,443393.9318,212950.8416,2025-01-02,1.844,No,No
Frax,16,823396.8971,777286.7492,373311.0796,2025-01-02,3.2327,No,No
QiDAO,26,308151.406,290894.9419,139709.4578,2025-01-02,1.2098,No,No
pSTAKE,3,606606.3771,572636.4489,275022.7531,2025-01-02,2.3816,No,Yes
Stader,4,546553.328,542150.9533,247795.9459,2025-02-06,2.2548,No,Yes
USD+,5,486959.4751,469028.6934,220777.3287,2025-01-16,1.9507,No,No
GrizzlyFi,6,481336.2201,472843.5801,218227.8615,2025-01-30,1.9665,No,Yes
DAO Maker,4903,371.4,364.847,168.3851,2025-01-30,0.0015,No,No
DAO Maker,1772,115952.695,112794.9585,52570.5476,2025-01-23,0.4691,No,Yes
DAO Maker,2463,57940.2971,56918.0025,26268.9293,2025-01-30,0.2367,No,Yes
DAO Maker,1774,339268.4928,333282.4468,153817.2997,2025-01-30,1.3861,No,Yes
DAO Maker,2462,57940.2971,56917.9998,26268.9293,2025-01-30,0.2367,No,Yes
Deus,8,604403.784,570557.0859,274024.1431,2025-01-02,2.3729,No,No
Deus,9,352409.7628,332674.749,159775.2791,2025-01-02,1.3836,No,No
Deus,3375,438.5,418.1487,198.8068,2025-01-09,0.0017,Yes,No
xCAD,27,498402.0997,480049.86,225965.1774,2025-01-16,1.9965,Yes,Yes
xCAD,5131,30265.19,29150.759,13721.6096,2025-01-16,0.1212,No,No
xCAD,5133,10828.3256,10429.6028,4909.3383,2025-01-16,0.0434,No,No
xCAD,5145,55.0,52.9748,24.9359,2025-01-16,0.0002,No,No
xCAD,5146,1887.2767,1817.783,855.6521,2025-01-16,0.0076,No,No
xCAD,5246,12700.0099,12354.1479,5757.9211,2025-01-23,0.0514,No,No
xCAD,5257,5115.6675,4976.3514,2319.3376,2025-01-23,0.0207,No,No
xCAD,5354,7446.6889,7243.8917,3376.1743,2025-01-23,0.0301,No,No
xCAD,5600,61677.1663,60588.9211,27963.1483,2025-01-30,0.252,Yes,Yes
LiquidDriver,17,866274.9077,850990.1248,392751.0805,2025-01-30,3.5392,No,No
Tarot,10,485876.0053,477303.0809,220286.1059,2025-01-30,1.9851,No,Yes
Byte Masons,11,410984.8,387969.4753,186331.9864,2025-01-02,1.6135,No,No
Helio,12,484443.0173,457313.9779,219636.4189,2025-01-02,1.9019,No,Yes
Inverse,13,606308.8811,595610.9785,274887.8746,2025-01-30,2.4771,No,Yes
Impossible,14,423887.6402,400149.7307,192181.8666,2025-01-02,1.6642,No,Yes
Coin98,15,424624.464,400845.2719,192515.9272,2025-01-02,1.6671,No,No
Crypto Zen,795,64058.8499,61700.0436,29042.9543,2025-01-16,0.2566,No,No
Crypto Zen,2313,53499.3647,52042.3926,24255.5026,2025-01-23,0.2164,No,Yes
Crypto Zen,772,64058.8499,61700.0436,29042.9543,2025-01-16,0.2566,No,Yes
Crypto Zen,4900,58474.2979,56321.1259,26511.0342,2025-01-16,0.2342,No,Yes
Crypto Zen,5159,57747.0563,55620.6632,26181.3179,2025-01-16,0.2313,No,Yes
Millennium Club,330,168866.3971,165886.8417,76560.5229,2025-01-30,0.6899,No,No
Fear,3065,140242.1171,139112.4023,63582.8679,2025-02-06,0.5786,No,Yes
proepkes,3077,241138.9358,239196.4391,109327.3934,2025-02-06,0.9948,No,No
proepkes,109,27123.1661,26904.6752,12297.0811,2025-02-06,0.1119,No,No
proepkes,1726,7829.8392,7766.7659,3549.8867,2025-02-06,0.0323,No,No
proepkes,1146,9539.013,9462.1709,4324.7907,2025-02-06,0.0394,No,No
proepkes,570,2795.9476,2746.6142,1267.6247,2025-01-30,0.0114,No,No
proepkes,454,1731.9481,1701.3886,785.2294,2025-01-30,0.0071,No,No
